model,target,n_eligible,n_train,n_val,n_test,status,selected_C,validation_balanced_accuracy,validation_n,selection_status,n,n_classes,balanced_accuracy,accuracy,roc_auc,tn,fp,fn,tp,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,bootstrap_n_resamples,bootstrap_confidence,R,monitor_input,encoder_model,encoder_revision,encoder_frozen,embedding_dimension,max_length
rationale_minilm_embedding_logistic,critical_label,396,282,59,55,ok,0.1,0.5520833333333333,59,selected on validation balanced accuracy,55,2,0.542989417989418,0.5454545454545454,0.5357142857142858,11,16,9,19,0.4133116710875332,0.6800258620689654,2000,0.95,4,nonempty generated text after removing every line containing FINAL:,sentence-transformers/all-MiniLM-L6-v2,c9745ed1d9f207416be6d2e6f8de32d1f16199bf,True,384,128
rationale_minilm_embedding_logistic,critical_label,464,329,68,67,ok,10.0,0.512987012987013,68,selected on validation balanced accuracy,67,2,0.4147321428571429,0.417910447761194,0.4379464285714286,11,21,18,17,0.2888315652201741,0.535850228558673,2000,0.95,8,nonempty generated text after removing every line containing FINAL:,sentence-transformers/all-MiniLM-L6-v2,c9745ed1d9f207416be6d2e6f8de32d1f16199bf,True,384,128
rationale_minilm_embedding_logistic,critical_label,500,350,76,74,ok,0.1,0.5263157894736842,76,selected on validation balanced accuracy,74,2,0.4189189189189189,0.4189189189189189,0.4393718042366691,21,16,27,10,0.31026191998538555,0.5233930981299403,2000,0.95,16,nonempty generated text after removing every line containing FINAL:,sentence-transformers/all-MiniLM-L6-v2,c9745ed1d9f207416be6d2e6f8de32d1f16199bf,True,384,128
rationale_minilm_embedding_logistic,critical_label,500,350,76,74,ok,1.0,0.5921052631578947,76,selected on validation balanced accuracy,74,2,0.4864864864864865,0.4864864864864865,0.5325054784514245,18,19,19,18,0.37718738895250126,0.6029411764705883,2000,0.95,32,nonempty generated text after removing every line containing FINAL:,sentence-transformers/all-MiniLM-L6-v2,c9745ed1d9f207416be6d2e6f8de32d1f16199bf,True,384,128
