R,n_direct,task_accuracy,task_accuracy_test,task_accuracy_test_ci_lower,task_accuracy_test_ci_upper,n_rationale,parse_rate,n_rationale_available,rationale_text_coverage,median_rationale_tokens,n_rmi_eligible,rmi_eligibility_coverage_of_test,latent_probe_BA,text_monitor_BA,RMI_raw,RMI_raw_ci_lower,RMI_raw_ci_upper,patch_flip_rate_primary,patch_logit_shift_primary,status
4,500,0.502,0.581081081081081,0.47297297297297297,0.6891891891891891,500,0.04,396,0.792,19.0,55,0.7432432432432432,0.5456349206349207,0.4914021164021164,0.0542328042328043,-0.13025307345160295,0.2473624540087273,,,ok
8,500,0.498,0.5405405405405406,0.4189189189189189,0.6621621621621622,500,0.0,464,0.928,18.0,67,0.9054054054054054,0.5669642857142857,0.4705357142857143,0.09642857142857142,-0.06953891563224862,0.266944560102738,,,ok
16,500,0.49,0.5,0.3918918918918919,0.6081081081081081,500,0.968,500,1.0,23.0,74,1.0,0.9189189189189189,0.43243243243243246,0.4864864864864864,0.36116859243697486,0.6049597385926012,,,ok
32,500,0.494,0.47297297297297297,0.35135135135135137,0.581081081081081,500,0.796,500,1.0,21.0,74,1.0,0.8648648648648649,0.43243243243243246,0.43243243243243246,0.29315476190476186,0.5617472342032291,0.0,0.017578125,ok
